Financial Year,Financial Quarter,Force Name,Offence Description,Offence Group,Offence Subgroup,Offence Code,Number of Offences
2017/18,1,Action Fraud,Fraud offences recorded by Action Fraud,Fraud offences,Fraud: action fraud,AF, 66776 
2017/18,1,Avon and Somerset,Absconding from lawful custody,Miscellaneous crimes,Miscellaneous crimes,80, 2 
2017/18,1,Avon and Somerset,Abuse of children through sexual exploitation,Sexual offences,Other sexual offences,71, 6 
2017/18,1,Avon and Somerset,Abuse of position of trust of a sexual nature,Sexual offences,Other sexual offences,73, 1 
2017/18,1,Avon and Somerset,Aggravated Burglary Business and Community,Theft offences,Non-domestic burglary,31A, 2 
2017/18,1,Avon and Somerset,Aggravated burglary in a building other than a dwelling(outcome only),Theft offences,Non-domestic burglary,31,-00 
2017/18,1,Avon and Somerset,Aggravated burglary in a dwelling (outcome only),Theft offences,Domestic burglary,29,-00 
2017/18,1,Avon and Somerset,Aggravated Burglary Residential,Theft offences,Domestic burglary,29A, 22 
2017/18,1,Avon and Somerset,Aggravated vehicle taking,Theft offences,Theft of a motor vehicle,37.2, 22 
2017/18,1,Avon and Somerset,Aiding suicide,Miscellaneous crimes,Miscellaneous crimes,76,-00 
2017/18,1,Avon and Somerset,Arson endangering life,Criminal damage and arson,Arson,56A, 43 
2017/18,1,Avon and Somerset,Arson not endangering life,Criminal damage and arson,Arson,56B, 204 
2017/18,1,Avon and Somerset,Assault with injury,Violence against the person,Violence with injury,8N, 2863 
2017/18,1,Avon and Somerset,Assault with injury on a constable,Violence against the person,Violence with injury,8S, 68 
2017/18,1,Avon and Somerset,Assault with intent to cause serious harm,Violence against the person,Violence with injury,5D, 149 
2017/18,1,Avon and Somerset,Assault without injury,Violence against the person,Violence without injury,105A, 3724 
2017/18,1,Avon and Somerset,Assault without injury on a constable,Violence against the person,Violence without injury,104, 124 
2017/18,1,Avon and Somerset,Attempted Burglary Business and Community,Theft offences,Non-domestic burglary,30D, 130 
2017/18,1,Avon and Somerset,Attempted burglary in a building other than a dwelling (outcome only),Theft offences,Non-domestic burglary,30B,-00 
2017/18,1,Avon and Somerset,Attempted burglary in a dwelling (outcome only),Theft offences,Domestic burglary,28B,-00 
2017/18,1,Avon and Somerset,Attempted Burglary Residential,Theft offences,Domestic burglary,28F, 364 
2017/18,1,Avon and Somerset,Attempted distraction burglary in a dwelling (outcome only),Theft offences,Domestic burglary,28D,-00 
2017/18,1,Avon and Somerset,Attempted Distraction Burglary Residential,Theft offences,Domestic burglary,28H,-00 
2017/18,1,Avon and Somerset,Attempted murder,Violence against the person,Violence with injury,2, 9 
2017/18,1,Avon and Somerset,Bail offences,Miscellaneous crimes,Miscellaneous crimes,83, 2 
2017/18,1,Avon and Somerset,Bigamy,Miscellaneous crimes,Miscellaneous crimes,26,-00 
2017/18,1,Avon and Somerset,Blackmail,Theft offences,Other theft offences,35, 44 
2017/18,1,Avon and Somerset,Burglary Business and Community,Theft offences,Non-domestic burglary,30C, 761 
2017/18,1,Avon and Somerset,Burglary in a building other than a dwelling (outcome only),Theft offences,Non-domestic burglary,30A,-00 
2017/18,1,Avon and Somerset,Burglary in a dwelling(outcome only),Theft offences,Domestic burglary,28A,-00 
2017/18,1,Avon and Somerset,Burglary Residential,Theft offences,Domestic burglary,28E, 1755 
2017/18,1,Avon and Somerset,Causing death by aggravated vehicle taking,Violence against the person,Violence with injury,37.1,-00 
2017/18,1,Avon and Somerset,Causing death by careless driving under influence of drink or drugs,Violence against the person,Violence with injury,4.6,-00 
2017/18,1,Avon and Somerset,Causing death by careless or inconsiderate driving,Violence against the person,Violence with injury,4.8,-00 
2017/18,1,Avon and Somerset,Causing death by driving: unlicensed or disqualified or uninsured drivers,Violence against the person,Violence with injury,4.9,-00 
2017/18,1,Avon and Somerset,Causing death or serious injury by dangerous driving,Violence against the person,Violence with injury,4.4,-00 
2017/18,1,Avon and Somerset,Causing or allowing death of child or vulnerable person,Violence against the person,Violence with injury,4.7,-00 
2017/18,1,Avon and Somerset,Causing sexual activity without consent,Sexual offences,Other sexual offences,22A, 7 
2017/18,1,Avon and Somerset,Child abduction,Violence against the person,Violence without injury,13, 11 
2017/18,1,Avon and Somerset,Concealing an infant death close to birth,Miscellaneous crimes,Miscellaneous crimes,15,-00 
2017/18,1,Avon and Somerset,Conspiracy to murder,Violence against the person,Violence without injury,3A,-00 
2017/18,1,Avon and Somerset,Criminal damage to a building other than a dwelling,Criminal damage and arson,Criminal damage,58B, 390 
2017/18,1,Avon and Somerset,Criminal damage to a dwelling,Criminal damage and arson,Criminal damage,58A, 728 
2017/18,1,Avon and Somerset,Criminal damage to a vehicle,Criminal damage and arson,Criminal damage,58C, 1877 
2017/18,1,Avon and Somerset,Cruelty to children/young persons,Violence against the person,Violence without injury,11A, 192 
2017/18,1,Avon and Somerset,Dangerous driving,Miscellaneous crimes,Miscellaneous crimes,802, 15 
2017/18,1,Avon and Somerset,"Disclosure, obstruction, false or misleading statements etc",Miscellaneous crimes,Miscellaneous crimes,95, 2 
2017/18,1,Avon and Somerset,Dishonest use of electricity,Theft offences,Other theft offences,43, 2 
2017/18,1,Avon and Somerset,Distraction burglary in a dwelling (outcome only),Theft offences,Domestic burglary,28C,-00 
2017/18,1,Avon and Somerset,Distraction Burglary Residential,Theft offences,Domestic burglary,28G, 13 
2017/18,1,Avon and Somerset,Endangering life,Violence against the person,Violence with injury,5E, 4 
2017/18,1,Avon and Somerset,Exploitation of prostitution,Miscellaneous crimes,Miscellaneous crimes,24, 6 
2017/18,1,Avon and Somerset,Exposure and voyeurism,Sexual offences,Other sexual offences,88E, 74 
2017/18,1,Avon and Somerset,Forgery or use of false drug prescription,Miscellaneous crimes,Miscellaneous crimes,60, 3 
2017/18,1,Avon and Somerset,"Fraud, forgery etc associated with vehicle or driver records",Miscellaneous crimes,Miscellaneous crimes,814, 9 
2017/18,1,Avon and Somerset,"Going equipped for stealing, etc",Miscellaneous crimes,Miscellaneous crimes,33, 16 
2017/18,1,Avon and Somerset,Handling stolen goods,Miscellaneous crimes,Miscellaneous crimes,54, 17 
2017/18,1,Avon and Somerset,Harassment,Violence against the person,Stalking and harassment,8L, 1074 
2017/18,1,Avon and Somerset,Homicide,Violence against the person,Homicide,1/4.1/4.10/4.2,-00 
2017/18,1,Avon and Somerset,Homicide,Violence against the person,Homicide,1/4.1/4.10/4.2,-00 
2017/18,1,Avon and Somerset,Homicide,Violence against the person,Homicide,1/4.1/4.10/4.2, 1 
2017/18,1,Avon and Somerset,Homicide,Violence against the person,Homicide,1/4.1/4.10/4.2, 1 
2017/18,1,Avon and Somerset,Incest or familial sexual offences,Sexual offences,Other sexual offences,23, 9 
2017/18,1,Avon and Somerset,Intentional destruction of a viable unborn child,Violence against the person,Violence with injury,4.3,-00 
2017/18,1,Avon and Somerset,Interfering with a motor vehicle,Theft offences,Vehicle interference,126, 498 
2017/18,1,Avon and Somerset,Kidnapping,Violence against the person,Violence without injury,36, 43 
2017/18,1,Avon and Somerset,Making off without payment,Theft offences,Other theft offences,49A, 458 
2017/18,1,Avon and Somerset,"Making, supplying or possessing articles for use in fraud",Miscellaneous crimes,Miscellaneous crimes,33A,-00 
2017/18,1,Avon and Somerset,Malicious Communications,Violence against the person,Stalking and harassment,8R, 1771 
2017/18,1,Avon and Somerset,Modern slavery,Violence against the person,Violence without injury,106, 30 
2017/18,1,Avon and Somerset,Obscene publications etc,Miscellaneous crimes,Miscellaneous crimes,86, 121 
2017/18,1,Avon and Somerset,Offender Management Act offences,Miscellaneous crimes,Miscellaneous crimes,69, 17 
2017/18,1,Avon and Somerset,Other criminal damage,Criminal damage and arson,Criminal damage,58D, 1109 
2017/18,1,Avon and Somerset,Other drug offences,Drug offences,Possession of drugs,92C, 4 
